0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
336000.0,25.635,18.085,18.84,17.5775,24.27,13.4875,5.905,10.3275,14.19,3.64,2.1,25.705,20.66,8.125,23.8825,21.439999999999998,15.135,14.98,21.37,7.3725000000000005,5.74,13.125,127.53,0.0,0.0,157.365,137.2725,114.565,0.0,128.32,109.965,113.46000000000001,0.0,107.98,0.0,136.36,127.08,121.34,0.0,129.195,0.0,105.76,79.9,106.69999999999999
336001.0,16.275,19.7825,20.31,31.395000000000003,18.1525,23.445,30.71,9.12,4.3625,9.58,2.08,22.932499999999997,19.4525,26.427500000000002,25.03,24.924999999999997,26.485,20.525,6.52,3.3375,9.165,4.38,118.65,129.41,137.385,126.13,142.28,138.2425,114.4225,130.425,90.9,193.14,20.0,119.02,145.38,135.16,129.55,124.06,139.6425,0.0,105.375,55.269999999999996,126.91499999999999,300.0
336003.0,19.9925,16.8325,26.6025,23.487499999999997,24.2975,22.925,17.86,5.38,11.442499999999999,9.0,5.1,21.22,20.66,14.98,23.8825,21.439999999999998,15.135,21.37,8.125,7.3725000000000005,5.74,13.125,111.92,118.22,119.55,136.38,133.18,110.595,119.60749999999999,68.61749999999999,104.725,165.78,0.0,116.12,0.0,129.195,127.08,121.34,0.0,0.0,136.36,105.76,79.9,106.69999999999999
336034.0,15.92,22.595,39.3375,28.4075,30.4825,26.075,16.0925,6.235,6.2925,3.7800000000000002,5.6,20.067500000000003,17.27,17.947499999999998,27.8375,15.197500000000002,19.072499999999998,10.88,13.33,5.27,2.425,4.13,124.14000000000001,0.0,137.875,119.35,110.2,147.61,97.45,98.36749999999999,130.0,84.265,0.0,141.66,0.0,125.78,136.91,150.0,119.66,0.0,0.0,96.9875,96.22500000000001,166.66
336004.0,17.085,19.4425,14.67,21.235,18.165,15.54,12.805,23.215,8.0,5.025,9.075,22.932499999999997,19.4525,25.03,26.427500000000002,24.924999999999997,26.485,20.525,9.165,6.52,4.38,3.3375,111.87,129.15,114.16499999999999,128.96,116.41,143.445,122.85,123.21000000000001,199.995,71.79,110.405,119.02,145.38,129.55,135.16,124.06,139.6425,0.0,126.91499999999999,105.375,300.0,55.269999999999996
336005.0,25.635,18.085,17.5775,24.27,14.19,18.84,13.4875,5.905,10.3275,3.64,2.1,16.275,19.7825,20.31,23.445,30.71,31.395000000000003,18.1525,9.12,9.58,2.08,4.3625,127.53,0.0,157.365,137.2725,109.965,0.0,114.565,0.0,128.32,113.46000000000001,0.0,118.65,129.41,137.385,138.2425,114.4225,126.13,142.28,130.425,193.14,20.0,90.9
336006.0,22.595,39.3375,25.792499999999997,28.4075,26.075,30.4825,6.235,20.425,6.2925,5.6,3.7800000000000002,19.9925,16.8325,21.6125,23.487499999999997,24.2975,17.86,5.38,22.265,5.1,11.442499999999999,9.0,0.0,137.875,126.275,119.35,147.61,110.2,98.36749999999999,168.22500000000002,130.0,0.0,84.265,111.92,118.22,104.19,136.38,133.18,119.60749999999999,68.61749999999999,116.01,0.0,104.725,165.78
336007.0,16.275,19.7825,16.905,23.445,30.71,31.395000000000003,18.1525,9.12,9.58,4.3625,2.08,20.067500000000003,17.947499999999998,19.072499999999998,27.8375,15.197500000000002,19.385,13.33,10.88,5.27,2.425,4.13,118.65,129.41,135.3,138.2425,114.4225,126.13,142.28,130.425,193.14,90.9,20.0,141.66,125.78,119.66,136.91,150.0,0.0,0.0,0.0,96.9875,96.22500000000001,166.66
336008.0,17.085,19.4425,21.235,18.165,15.54,14.67,12.805,23.215,8.0,5.025,9.075,25.635,18.085,17.5775,24.27,18.84,13.4875,5.905,10.3275,14.19,3.64,2.1,111.87,129.15,128.96,116.41,143.445,114.16499999999999,122.85,123.21000000000001,199.995,71.79,110.405,127.53,0.0,157.365,137.2725,0.0,114.565,0.0,128.32,109.965,113.46000000000001,0.0
336009.0,22.932499999999997,19.4525,26.427500000000002,25.03,24.924999999999997,26.485,18.295,6.52,3.3375,4.38,9.165,20.31,19.7825,31.395000000000003,23.445,18.1525,18.5025,30.71,9.58,0.0,2.08,4.685,119.02,145.38,135.16,129.55,124.06,139.6425,88.23,105.375,55.269999999999996,300.0,126.91499999999999,137.385,129.41,126.13,138.2425,142.28,121.52250000000001,114.4225,193.14,75.0,20.0,112.065
